Email,Name,Tryout Name,PNU,PPU,PBM,PKT,LBI,LBE,PNM,Skor Rata-Rata
ahmad.alwi.andhika@sainsin-dummy.com,AHMAD ALWI ANDHIKA,Try Out UTBK SNBT 1 2025,435.38,618.19,441.56,392.94,423.83,335.84,404.37,436.02
ahmad.munazhim.silmi@sainsin-dummy.com,AHMAD MUNAZHIM SILMI,Try Out UTBK SNBT 1 2025,476.64,401.29,525.10,635.37,734.08,704.23,442.49,559.89
ahmad.munazhim.silmi@sainsin-dummy.com,AHMAD MUNAZHIM SILMI,Try Out UTBK SNBT 2 2025,401.59,432.05,497.77,348.50,315.47,423.81,390.64,401.40
ahmad.munazhim.silmi@sainsin-dummy.com,AHMAD MUNAZHIM SILMI,Try Out UTBK SNBT 3 2025,292.32,396.53,437.21,441.08,358.96,537.99,349.78,401.98
dava.alfabian.riyadi@sainsin-dummy.com,DAVA ALFABIAN RIYADI,Try Out UTBK SNBT 1 2025,493.60,407.92,414.24,420.09,390.63,493.80,351.31,424.51
dava.alfabian.riyadi@sainsin-dummy.com,DAVA ALFABIAN RIYADI,Try Out UTBK SNBT 3 2025,806.97,480.66,659.71,546.60,660.98,480.31,500.30,590.79
dava.alfabian.riyadi@sainsin-dummy.com,DAVA ALFABIAN RIYADI,Try Out UTBK SNBT 2 2025,755.94,660.63,439.28,642.12,780.44,826.85,461.14,652.34
dimas.bagus.pramono@sainsin-dummy.com,DIMAS BAGUS PRAMONO,Try Out UTBK SNBT 1 2025,484.35,366.08,449.98,589.59,250.41,400.58,440.89,425.98
dimas.bagus.pramono@sainsin-dummy.com,DIMAS BAGUS PRAMONO,Try Out UTBK SNBT 2 2025,621.80,644.28,648.96,527.59,787.92,933.88,558.90,674.76
faisal.zulhamzah@sainsin-dummy.com,FAISAL ZULHAMZAH,Try Out UTBK SNBT 1 2025,553.00,532.97,460.32,425.51,374.23,394.96,697.53,491.22
faisal.zulhamzah@sainsin-dummy.com,FAISAL ZULHAMZAH,Try Out UTBK SNBT 2 2025,380.37,406.67,491.35,582.67,439.49,296.03,445.04,434.51
faisal.zulhamzah@sainsin-dummy.com,FAISAL ZULHAMZAH,Try Out UTBK SNBT 3 2025,646.90,369.18,625.86,314.05,486.11,347.21,442.08,461.63
hafidz.fadilah.wijaya@sainsin-dummy.com,HAFIDZ FADILAH WIJAYA,Try Out UTBK SNBT 1 2025,598.55,496.61,490.60,424.50,734.10,466.51,403.20,516.30
